,id,season_id,home_team,visiting_team,game_number,attendance,location,date_played,home_team_name,visiting_team_name,location_name
0,210,8,2,6,1,9138,29,2025-11-21,Minnesota Frost,Toronto Sceptres,Grand Casino Arena
1,211,8,9,8,2,14958,30,2025-11-21,Vancouver Goldeneyes,Seattle Torrent,Pacific Coliseum
2,212,8,5,4,3,7371,1,2025-11-22,Ottawa Charge,New York Sirens,TD Place
3,213,8,1,3,4,5166,3,2025-11-23,Boston Fleet,Montréal Victoire,Tsongas Center
4,214,8,3,4,5,8392,8,2025-11-25,Montréal Victoire,New York Sirens,Place Bell
5,215,8,5,9,6,5507,1,2025-11-26,Ottawa Charge,Vancouver Goldeneyes,TD Place
6,216,8,8,2,7,16014,21,2025-11-28,Seattle Torrent,Minnesota Frost,Climate Pledge Arena
7,217,8,4,9,8,3517,16,2025-11-29,New York Sirens,Vancouver Goldeneyes,Prudential Center
8,218,8,6,1,9,8277,17,2025-11-29,Toronto Sceptres,Boston Fleet,Coca-Cola Coliseum
9,219,8,5,2,10,5174,1,2025-12-02,Ottawa Charge,Minnesota Frost,TD Place
10,221,8,8,4,12,8622,21,2025-12-03,Seattle Torrent,New York Sirens,Climate Pledge Arena
11,222,8,6,5,13,7715,17,2025-12-04,Toronto Sceptres,Ottawa Charge,Coca-Cola Coliseum
12,223,8,9,4,14,9502,30,2025-12-06,Vancouver Goldeneyes,New York Sirens,Pacific Coliseum
13,224,8,3,6,15,8113,8,2025-12-07,Montréal Victoire,Toronto Sceptres,Place Bell
14,226,8,9,5,17,9250,30,2025-12-16,Vancouver Goldeneyes,Ottawa Charge,Pacific Coliseum
15,228,8,4,1,19,1884,16,2025-12-17,New York Sirens,Boston Fleet,Prudential Center
16,229,8,8,5,20,9389,21,2025-12-17,Seattle Torrent,Ottawa Charge,Climate Pledge Arena
17,230,8,2,1,21,7216,29,2025-12-19,Minnesota Frost,Boston Fleet,Grand Casino Arena
18,231,8,9,3,22,12127,30,2025-12-20,Vancouver Goldeneyes,Montréal Victoire,Pacific Coliseum
19,232,8,4,6,23,3517,16,2025-12-21,New York Sirens,Toronto Sceptres,Prudential Center
20,234,8,8,1,25,11023,21,2025-12-21,Seattle Torrent,Boston Fleet,Climate Pledge Arena
21,235,8,6,5,26,8108,17,2025-12-23,Toronto Sceptres,Ottawa Charge,Coca-Cola Coliseum
